
metadata
ID,name,desc,time,keywords,minlat,minlon,maxlat,maxlon,
1,,,2012-09-20T00:51:19Z,,42.868186309933662,-83.803825434297323,42.927338154986501,-83.714346438646317,

author
ID,name,email,

copyright
year,license,author,

link
metadataID,authorID,wptID,rteptID,trkptID,rteID,trkID,text,type,href,
1,,,,,,,"Garmin International",,http://www.garmin.com,

rte
ID,name,cmt,desc,src,number,type,IsAutoNamed,DisplayColor,TransportationMode,
1,"001 to 0011",,,,,,true,"Magenta","DirtBiking",

rtept
ID,rteID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,DepartureTime,StopDuration,ArrivalTime,CalculationMode,ElevationMode,NamedRoad_Name,NamedRoad_Id,NamedRoad_ProductId,
1,1,42.9015819914639,-83.789530014619231,,2012-09-20T00:44:36Z,,,"001",,,,"Waypoint",,,,,,,,,,,,"FasterTime","Standard",,,,
2,1,42.901798831298947,-83.79694246686995,,2012-09-20T00:44:39Z,,,"002",,,,"Waypoint",,,,,,,,,,,,"FasterTime","Standard",,,,
3,1,42.901148227974772,-83.80170757882297,,2012-09-20T00:44:40Z,,,"003",,,,"Waypoint",,,,,,,,,,,,"FasterTime","Standard",,,,
4,1,42.898112302646041,-83.803560733795166,,2012-09-20T00:44:41Z,,,"004",,,,"Waypoint",,,,,,,,,,,,"FasterTime","Standard",,,,
5,1,42.895076293498278,-83.803825434297323,,2012-09-20T00:44:42Z,,,"005",,,,"Waypoint",,,,,,,,,,,,"FasterTime","Standard",,,,
6,1,42.892040368169546,-83.80303124897182,,2012-09-20T00:44:43Z,,,"006",,,,"Waypoint",,,,,,,,,,,,"FasterTime","Standard",,,,
7,1,42.892040368169546,-83.80303124897182,,2012-09-20T00:44:45Z,,,"0061",,,,"Waypoint",,,,,,,,,,,,"FasterTime","Standard",,,,
8,1,42.88835383951664,-83.79932502284646,,2012-09-20T00:44:46Z,,,"007",,,,"Waypoint",,,,,,,,,,,,"FasterTime","Standard",,,,
9,1,42.88835383951664,-83.79932502284646,,2012-09-20T00:44:47Z,,,"0071",,,,"Waypoint",,,,,,,,,,,,"FasterTime","Standard",,,,
10,1,42.883799867704511,-83.791383085772395,,2012-09-20T00:44:48Z,,,"008",,,,"Waypoint",,,,,,,,,,,,"FasterTime","Standard",,,,
